Catalyst	Product	TS	PCM-B97D_E	PCM-B97D_H	PCM-B97D_G	PCM-B97D_qG	SMD-B97D  	 SMD-M06-2X  	 PCM-M06-2X  	PCM-wB97XD 	B97D
2	R	BP4	-2703.918977	-2703.409131	-2703.459299	-2703.456927	-2703.957581	-2703.763462	-2703.722360	-2704.425398	-2703.856367
2	R	BP5	-2703.922457	-2703.412445	-2703.461766	-2703.459632	-2703.960580	-2703.768080	-2703.727655	-2704.430950	-2703.863187
2	S	BP1	-2703.925220	-2703.415316	-2703.464730	-2703.462532	-2703.963575	-2703.773958	-2703.733147	-2704.434052	-2703.869921
2	S	BP2	-2703.928608	-2703.418780	-2703.468204	-2703.466044	-2703.966097	-2703.775137	-2703.735160	-2704.437390	-2703.866338
2	S	BP3	-2703.927840	-2703.417950	-2703.467694	-2703.465443	-2703.965407	-2703.774000	-2703.734143	-2704.436260	-2703.869226
2	S	BP4	-2703.923184	-2703.413279	-2703.462701	-2703.460537	-2703.961067	-2703.768330	-2703.728011	-2704.430599	-2703.863895
2	S	BP5	-2703.913701	-2703.404035	-2703.453987	-2703.451715	-2703.952078	-2703.757370	-2703.716515	-2704.420731	-2703.852319
3a	R	BP1	-2625.311991	-2624.840851	-2624.932328	-2624.927263	-2625.350301	-2625.171660	-2625.130818	-2625.787045	-2625.254571
3a	R	BP2	-2625.316665	-2624.845575	-2624.937600	-2624.932197	-2625.354241	-2625.175519	-2625.135391	-2625.792056	-2625.254911
3a	R	BP3	-2625.305091	-2624.834030	-2624.925767	-2624.920605	-2625.343488	-2625.163238	-2625.122229	-2625.778705	-2625.241032
3a	R	BP4	-2625.306385	-2624.835169	-2624.926529	-2624.921555	-2625.344994	-2625.163307	-2625.122146	-2625.779882	-2625.239323
3a	R	BP5	-2625.307735	-2624.836660	-2624.928530	-2624.923306	-2625.346297	-2625.165603	-2625.124497	-2625.781712	-2625.244465
3a	S	BP1	-2625.311948	-2624.840872	-2624.932336	-2624.927279	-2625.350267	-2625.171723	-2625.130882	-2625.786804	-2625.254483
3a	S	BP2	-2625.314704	-2624.843647	-2624.935253	-2624.930033	-2625.352768	-2625.173259	-2625.132637	-2625.789064	-2625.249260
3a	S	BP3	-2625.313547	-2624.841981	-2624.932562	-2624.927900	-2625.351374	-2625.170880	-2625.130532	-2625.787506	-2625.250696
3a	S	BP4	-2625.308771	-2624.837453	-2624.928700	-2624.923739	-2625.347475	-2625.166582	-2625.125328	-2625.782958	-2625.245379
3a	S	BP5	-2625.302543	-2624.831304	-2624.922931	-2624.917830	-2625.341874	-2625.158788	-2625.116755	-2625.775300	-2625.235775
3b	R	BP1	-3087.226613	-3086.611515	-3086.667968	-3086.664333	-3087.272244	-3087.119810	-3087.071008	-3087.895050	-3087.174149
3b	R	BP2	-3087.229775	-3086.614260	-3086.670198	-3086.666778	-3087.275034	-3087.122396	-3087.074116	-3087.897652	-3087.173580
3b	R	BP3	NA	-3086.603132	-3086.658281	-3086.655223	-3087.264250	-3087.109772	-3087.061484	-3087.884660	-3087.161367
3b	R	BP4	-3087.218664	-3086.603352	-3086.659574	-3086.656171	-3087.264496	-3087.109274	-3087.060441	-3087.886346	-3087.158829
3b	R	BP5	-3087.220261	-3086.604847	-3086.660086	-3086.657048	-3087.265987	-3087.110097	-3087.061348	-3087.887276	-3087.162991
3b	S	BP1	-3087.227121	-3086.611806	-3086.667852	-3086.664382	-3087.272809	-3087.121523	-3087.072544	-3087.895972	-3087.174770
3b	S	BP2	-3087.226319	-3086.611040	-3086.667015	-3086.663619	-3087.271853	-3087.117259	-3087.068650	-3087.893342	-3087.166670
3b	S	BP3	-3087.226845	-3086.610895	-3086.665689	-3086.662739	-3087.272062	-3087.116145	-3087.068113	-3087.893093	-3087.170864
3b	S	BP4	-3087.220378	-3086.605021	-3086.661350	-3086.657808	-3087.266313	-3087.110351	-3087.061294	-3087.887180	-3087.162962
3b	S	BP5	-3087.214487	-3086.599375	-3086.655361	-3086.652066	-3087.260608	-3087.101679	-3087.052582	-3087.879129	-3087.154217
4a	R	BP1	-3092.081469	-3091.366830	-3091.444816	-3091.439823	-3092.120179	-3091.932764	-3091.891500	-3092.771123	-3092.022586
4a	R	BP2	-3092.090878	-3091.376607	-3091.455311	-3091.449886	-3092.129402	-3091.943011	-3091.901994	-3092.781361	-3092.025926
4a	R	BP3	-3092.079993	-3091.365259	-3091.442723	-3091.437957	-3092.119006	-3091.931022	-3091.889482	-3092.768508	-3092.013293
4a	R	BP4	-3092.080527	-3091.366442	-3091.446646	-3091.440638	-3092.120368	NA	-3091.889349	-3092.770798	-3092.009951
4a	R	BP5	-3092.081197	-3091.366867	-3091.445241	-3091.440099	-3092.120619	-3091.931767	-3091.889795	-3092.771230	-3092.014557
4a	S	BP1	-3092.086558	-3091.372301	-3091.451569	-3091.445863	-3092.125747	-3091.941037	-3091.898933	-3092.777807	-3092.027790
4a	S	BP2	-3092.089032	-3091.374700	-3091.453040	-3091.447859	-3092.127910	-3091.940292	-3091.898850	-3092.779340	-3092.018507
4a	S	BP3	-3092.087721	-3091.372634	-3091.449818	-3091.445086	-3092.126451	-3091.936903	-3091.895874	-3092.776504	-3092.023123
4a	S	BP4	-3092.081557	-3091.367331	-3091.446468	-3091.440922	-3092.121081	-3091.932045	-3091.889844	-3092.771135	-3092.014814
4a	S	BP5	-3092.076503	-3091.362127	-3091.440821	-3091.435589	-3092.116627	-3091.924790	-3091.882170	-3092.764430	-3092.005459
4b	R	BP1	-3092.541359	-3091.794946	-3091.875248	-3091.869427	-3092.578567	-3092.335334	-3092.296319	-3093.222488	-3092.481466
4b	R	BP2	-3092.535908	-3091.789158	-3091.868712	-3091.863271	-3092.572594	-3092.327252	-3092.288715	-3093.215766	-3092.469924
4b	R	BP3	-3092.534765	-3091.788089	-3091.867601	-3091.862129	NA	NA	NA	NA	NA
4b	R	BP4	-3092.527640	-3091.780225	-3091.860072	-3091.854637	-3092.566944	-3092.317545	-3092.276063	-3093.204001	-3092.454927
4b	R	BP5	-3092.522528	-3091.775741	-3091.855737	-3091.850141	-3092.560657	-3092.313224	-3092.273222	-3093.201867	-3092.450265
4b	S	BP1	-3092.542010	-3091.795549	-3091.875282	-3091.869720	-3092.579035	-3092.335818	-3092.296962	-3093.223031	-3092.482063
4b	S	BP2	-3092.532852	-3091.785311	-3091.866697	-3091.860329	-3092.571935	-3092.324715	-3092.283453	-3093.210147	-3092.462580
4b	S	BP3	-3092.538211	-3091.791684	-3091.871300	-3091.865914	-3092.574026	-3092.332552	-3092.294851	-3093.220416	-3092.474888
4b	S	BP4	-3092.538066	-3091.790719	-3091.869682	-3091.864553	-3092.576282	-3092.329785	-3092.289852	-3093.217793	-3092.471147
4b	S	BP5	-3092.538173	-3091.791099	-3091.870260	-3091.865026	-3092.576266	-3092.329834	-3092.289851	-3093.218383	-3092.468228
4c	R	BP1	-3092.547619	-3091.801189	-3091.880708	-3091.875214	-3092.584488	-3092.343248	-3092.304601	-3093.229631	-3092.485866
4c	R	BP2	-3092.553287	-3091.806872	-3091.887362	-3091.881375	-3092.589697	-3092.347920	-3092.309716	-3093.235566	-3092.485799
4c	R	BP3	-3092.540588	-3091.793948	-3091.874452	-3091.868432	-3092.577705	-3092.335004	-3092.296017	-3093.221469	-3092.473061
4c	R	BP4	-3092.543905	-3091.796931	-3091.875998	-3091.870746	-3092.581562	-3092.336593	-3092.297073	-3093.224631	-3092.471027
4c	R	BP5	-3092.545421	-3091.798768	-3091.878548	-3091.872907	-3092.583390	-3092.339441	-3092.299800	-3093.227129	-3092.477408
4c	S	BP1	-3092.547864	-3091.801335	-3091.880722	-3091.875316	-3092.584984	-3092.344411	-3092.305545	-3093.230217	-3092.485523
4c	S	BP2	-3092.551601	-3091.804900	-3091.884350	-3091.878878	-3092.588156	-3092.345155	-3092.306781	-3093.233724	-3092.479665
4c	S	BP3	-3092.549714	-3091.802775	-3091.881933	-3091.876540	-3092.586817	-3092.343212	-3092.304487	-3093.230779	-3092.483698
4c	S	BP4	-3092.546194	-3091.799427	-3091.878827	-3091.873383	-3092.583530	-3092.339274	-3092.300129	-3093.227211	-3092.477581
4c	S	BP5	-3092.531381	-3091.784547	-3091.864654	-3091.859167	-3092.568420	-3092.320966	-3092.282208	-3093.210095	-3092.457781
4d	R	BP1	-3092.314855	-3091.584467	-3091.663456	-3091.658066	-3092.352957	-3092.139768	-3092.099240	-3093.001561	-3092.255753
4d	R	BP2	-3092.317362	-3091.586247	-3091.664561	-3091.659472	-3092.354930	-3092.136816	-3092.097334	-3093.001651	-3092.253595
4d	R	BP3	-3092.317813	-3091.586875	-3091.665771	-3091.660442	-3092.355913	-3092.139083	-3092.098810	-3093.002217	-3092.247622
4d	R	BP4	-3092.306387	-3091.575661	-3091.654962	-3091.649573	-3092.344746	-3092.124054	-3092.083643	-3092.989746	-3092.237822
4d	R	BP5	-3092.311624	-3091.581284	-3091.660792	-3091.655213	-3092.349851	-3092.133650	-3092.093216	-3092.997159	-3092.246854
4d	R	BP1'	-3092.307756	-3091.577530	-3091.656242	-3091.650977	-3092.345762	-3092.133768	-3092.093468	-3092.993849	-3092.247566
